Type,Strike,Bid,Ask,Expiration
call,150.0,192.15,192.4,2021-11-26
call,155.0,187.05,187.25,2021-11-26
call,165.0,176.6,177.6,2021-11-26
call,175.0,166.55,167.6,2021-11-26
call,180.0,161.6,162.6,2021-11-26
call,190.0,151.6,152.6,2021-11-26
call,200.0,141.6,142.65,2021-11-26
call,205.0,136.65,137.6,2021-11-26
call,215.0,121.4,122.55,2021-11-26
call,230.0,112.1,112.65,2021-11-26
call,240.0,102.05,102.7,2021-11-26
call,250.0,92.1,92.55,2021-11-26
call,255.0,87.0,87.4,2021-11-26
call,260.0,81.85,82.95,2021-11-26
call,265.0,76.95,77.9,2021-11-26
call,270.0,71.85,73.05,2021-11-26
call,275.0,66.7,68.0,2021-11-26
call,280.0,61.4,62.75,2021-11-26
call,285.0,57.15,57.5,2021-11-26
call,290.0,52.15,52.7,2021-11-26
call,295.0,46.8,47.7,2021-11-26
call,300.0,41.5,42.55,2021-11-26
call,305.0,37.1,37.75,2021-11-26
call,310.0,31.95,32.7,2021-11-26
call,312.5,29.55,30.75,2021-11-26
call,315.0,27.25,27.65,2021-11-26
call,317.5,24.05,25.15,2021-11-26
call,320.0,22.25,22.7,2021-11-26
call,322.5,19.5,20.25,2021-11-26
call,325.0,17.3,17.65,2021-11-26
call,327.5,14.85,15.35,2021-11-26
call,330.0,12.45,12.95,2021-11-26
call,332.5,9.85,10.6,2021-11-26
call,335.0,7.9,8.25,2021-11-26
call,337.5,5.85,6.1,2021-11-26
call,340.0,4.25,4.3,2021-11-26
call,342.5,2.67,2.75,2021-11-26
call,345.0,1.64,1.7,2021-11-26
call,347.5,0.97,1.03,2021-11-26
call,350.0,0.58,0.6,2021-11-26
call,355.0,0.23,0.26,2021-11-26
call,360.0,0.11,0.13,2021-11-26
call,365.0,0.06,0.07,2021-11-26
call,370.0,0.04,0.05,2021-11-26
call,375.0,0.03,0.04,2021-11-26
call,380.0,0.02,0.03,2021-11-26
call,385.0,0.02,0.03,2021-11-26
call,390.0,0.02,0.03,2021-11-26
call,395.0,0.01,0.03,2021-11-26
call,400.0,0.01,0.03,2021-11-26
call,405.0,0.01,0.03,2021-11-26
call,410.0,0.0,0.03,2021-11-26
call,415.0,0.01,0.02,2021-11-26
call,420.0,0.0,0.02,2021-11-26
call,425.0,0.0,0.01,2021-11-26
call,430.0,0.0,0.02,2021-11-26
call,435.0,0.0,0.01,2021-11-26
call,440.0,0.0,0.03,2021-11-26
call,455.0,0.0,0.04,2021-11-26
call,460.0,0.0,0.04,2021-11-26
call,465.0,0.0,0.04,2021-11-26
call,475.0,0.0,0.01,2021-11-26
puts,150.0,0.0,0.01,2021-11-26
puts,155.0,0.0,0.06,2021-11-26
puts,180.0,0.0,0.05,2021-11-26
puts,190.0,0.0,0.05,2021-11-26
puts,195.0,0.0,0.05,2021-11-26
puts,200.0,0.0,0.01,2021-11-26
puts,205.0,0.0,0.09,2021-11-26
puts,210.0,0.0,0.01,2021-11-26
puts,215.0,0.0,0.05,2021-11-26
puts,220.0,0.0,0.52,2021-11-26
puts,225.0,0.0,0.05,2021-11-26
puts,230.0,0.0,0.01,2021-11-26
puts,235.0,0.0,0.01,2021-11-26
puts,240.0,0.0,0.01,2021-11-26
puts,245.0,0.0,0.01,2021-11-26
puts,250.0,0.0,0.01,2021-11-26
puts,255.0,0.0,0.01,2021-11-26
puts,260.0,0.0,0.01,2021-11-26
puts,265.0,0.0,0.01,2021-11-26
puts,270.0,0.0,0.01,2021-11-26
puts,275.0,0.0,0.02,2021-11-26
puts,280.0,0.0,0.01,2021-11-26
puts,285.0,0.0,0.03,2021-11-26
puts,290.0,0.01,0.03,2021-11-26
puts,295.0,0.01,0.03,2021-11-26
puts,300.0,0.03,0.04,2021-11-26
puts,305.0,0.04,0.05,2021-11-26
puts,310.0,0.06,0.08,2021-11-26
puts,312.5,0.08,0.09,2021-11-26
puts,315.0,0.1,0.11,2021-11-26
puts,317.5,0.12,0.13,2021-11-26
puts,320.0,0.15,0.16,2021-11-26
puts,322.5,0.18,0.2,2021-11-26
puts,325.0,0.22,0.24,2021-11-26
puts,327.5,0.28,0.3,2021-11-26
puts,330.0,0.39,0.4,2021-11-26
puts,332.5,0.54,0.56,2021-11-26
puts,335.0,0.76,0.82,2021-11-26
puts,337.5,1.2,1.25,2021-11-26
puts,340.0,1.88,1.97,2021-11-26
puts,342.5,2.94,2.98,2021-11-26
puts,345.0,4.45,4.55,2021-11-26
puts,347.5,6.15,6.3,2021-11-26
puts,350.0,8.05,9.45,2021-11-26
puts,355.0,12.85,13.15,2021-11-26
puts,360.0,17.5,18.45,2021-11-26
puts,365.0,22.45,23.3,2021-11-26
puts,370.0,27.05,28.05,2021-11-26
puts,375.0,32.3,33.1,2021-11-26
puts,380.0,37.45,38.3,2021-11-26
puts,385.0,42.15,43.65,2021-11-26
puts,390.0,47.25,48.35,2021-11-26
puts,395.0,52.55,53.0,2021-11-26
puts,400.0,57.2,58.15,2021-11-26
puts,405.0,62.3,63.05,2021-11-26
puts,410.0,67.1,68.15,2021-11-26
puts,415.0,72.25,73.55,2021-11-26
puts,420.0,77.65,78.2,2021-11-26
puts,430.0,87.3,87.9,2021-11-26
puts,435.0,92.0,93.2,2021-11-26
puts,445.0,102.6,103.55,2021-11-26
puts,450.0,107.25,108.1,2021-11-26
puts,455.0,112.35,113.3,2021-11-26
puts,460.0,117.15,118.15,2021-11-26
puts,465.0,122.6,122.9,2021-11-26
puts,470.0,127.45,127.7,2021-11-26
puts,475.0,132.6,132.75,2021-11-26
call,225.0,116.55,118.1,2021-12-03
call,230.0,111.95,112.65,2021-12-03
call,235.0,106.6,108.15,2021-12-03
call,240.0,101.6,103.1,2021-12-03
call,245.0,96.65,97.55,2021-12-03
call,250.0,92.0,93.05,2021-12-03
call,255.0,86.9,87.75,2021-12-03
call,260.0,82.0,82.5,2021-12-03
call,265.0,75.5,78.55,2021-12-03
call,270.0,70.55,73.55,2021-12-03
call,275.0,65.5,68.75,2021-12-03
call,280.0,60.55,62.6,2021-12-03
call,285.0,56.15,58.15,2021-12-03
call,290.0,52.0,52.7,2021-12-03
call,295.0,47.2,47.75,2021-12-03
call,300.0,42.2,42.9,2021-12-03
call,305.0,37.05,38.35,2021-12-03
call,310.0,32.4,33.15,2021-12-03
call,312.5,30.1,30.75,2021-12-03
call,315.0,27.6,28.0,2021-12-03
call,317.5,25.2,25.65,2021-12-03
call,320.0,22.8,23.25,2021-12-03
call,322.5,20.4,20.75,2021-12-03
call,325.0,18.05,18.35,2021-12-03
call,327.5,15.85,16.2,2021-12-03
call,330.0,13.55,14.0,2021-12-03
call,332.5,11.55,11.85,2021-12-03
call,335.0,9.4,9.55,2021-12-03
call,337.5,7.7,7.9,2021-12-03
call,340.0,6.05,6.2,2021-12-03
call,342.5,4.55,4.7,2021-12-03
call,345.0,3.4,3.55,2021-12-03
call,347.5,2.51,2.59,2021-12-03
call,350.0,1.81,1.91,2021-12-03
call,355.0,0.97,1.05,2021-12-03
call,360.0,0.55,0.59,2021-12-03
call,365.0,0.32,0.34,2021-12-03
call,370.0,0.21,0.23,2021-12-03
call,375.0,0.15,0.16,2021-12-03
call,380.0,0.11,0.12,2021-12-03
call,385.0,0.08,0.1,2021-12-03
call,390.0,0.06,0.07,2021-12-03
call,395.0,0.05,0.06,2021-12-03
call,400.0,0.04,0.05,2021-12-03
call,405.0,0.03,0.04,2021-12-03
call,410.0,0.02,0.03,2021-12-03
call,415.0,0.02,0.03,2021-12-03
call,420.0,0.01,0.03,2021-12-03
call,425.0,0.0,0.03,2021-12-03
call,430.0,0.0,0.03,2021-12-03
call,435.0,0.0,0.03,2021-12-03
call,440.0,0.0,0.03,2021-12-03
call,445.0,0.0,0.03,2021-12-03
call,450.0,0.0,0.03,2021-12-03
call,455.0,0.0,0.03,2021-12-03
call,460.0,0.0,0.03,2021-12-03
call,475.0,0.0,0.02,2021-12-03
puts,225.0,0.0,0.01,2021-12-03
puts,230.0,0.0,0.06,2021-12-03
puts,235.0,0.0,0.01,2021-12-03
puts,240.0,0.0,0.04,2021-12-03
puts,245.0,0.0,0.03,2021-12-03
puts,250.0,0.0,0.01,2021-12-03
puts,255.0,0.0,0.02,2021-12-03
puts,260.0,0.0,0.03,2021-12-03
puts,265.0,0.01,0.03,2021-12-03
puts,270.0,0.02,0.03,2021-12-03
